E keV,hK 0 Sv/Gy
3,0.316480863
4,0.586082223
5,0.756401355
6,0.845352968
7,0.893195414
8,0.921018062
9,0.938697881
10,0.950562532
11,0.959585299
12,0.967632683
13,0.975011798
14,0.982900595
15,0.990121235
16,0.997578436
17,1.004664355
18,1.008904801
19,1.016418491
20,1.023669774
22,1.036906275
24,1.045605574
26,1.055356115
28,1.063086641
30,1.069393947
32,1.074674137
34,1.081008346
36,1.08607329
38,1.091754172
40,1.098333934
42,1.103418118
44,1.109180651
46,1.115026618
48,1.117614863
50,1.123364548
52,1.13002698
54,1.13345362
56,1.137308606
58,1.140122546
60,1.144778857
65,1.152583073
70,1.159010761
75,1.164380369
80,1.167246041
85,1.17002327
90,1.170527784
95,1.170338421
100,1.172330093
110,1.170588397
120,1.169398943
130,1.167028974
140,1.164728682
150,1.161875702
160,1.159865713
170,1.156971192
180,1.155232256
190,1.152909582
200,1.150873816
225,1.14642566
250,1.142468347
275,1.13901476
300,1.136212067
325,1.133609631
350,1.131371954
375,1.129362756
400,1.127749069
425,1.126033703
450,1.124616386
500,1.122276518
550,1.120493996
600,1.119468923
662,1.118843911
700,1.117919052
800,1.115615575
900,1.11403828
1000,1.112837013
1250,1.110463281
