E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy
5,8.26E-06,4.83E-06,2.93E-06,8.84E-07,1.03323E-08,5.97194E-07,1.1482E-08
6,0.001187743,0.000904468,0.000395047,7.40E-05,4.04E-06,2.71E-06,1.20709E-07
7,0.014402516,0.012313118,0.007617238,0.002731335,0.000324973,1.77E-05,8.82E-07
8,0.059556801,0.053698136,0.038903103,0.019694501,0.004618485,0.000251995,5.33E-06
9,0.139537198,0.130392728,0.103943452,0.064294332,0.023055964,0.002120786,2.98E-05
10,0.240566481,0.229102355,0.194857963,0.136996437,0.064852307,0.010088118,0.000142588
11,0.346652896,0.333372792,0.295364643,0.22657216,0.128520043,0.030694003,0.00066214
12,0.446664292,0.433480694,0.395061728,0.321634615,0.20779321,0.0678033,0.002015876
13,0.53543357,0.522756085,0.485634584,0.413231334,0.292565903,0.119816733,0.006613009
14,0.613390469,0.601950793,0.566513588,0.497461271,0.376125458,0.18202138,0.015644767
15,0.681319406,0.670275185,0.638579679,0.573438407,0.454982956,0.249052883,0.03135163
16,0.740255058,0.729616327,0.70053053,0.640634439,0.527872058,0.318328066,0.054464455
17,0.791195583,0.78265449,0.756939488,0.701386442,0.594085315,0.384648518,0.084363175
18,0.837764753,0.827528599,0.80398403,0.752687242,0.651486081,0.447515906,0.11886916
19,0.878498306,0.87003007,0.849108237,0.801066712,0.70577379,0.506998153,0.158589867
20,0.918273926,0.908874689,0.889768332,0.844763933,0.754810082,0.562433289,0.201377256
22,0.987475452,0.979135359,0.963454209,0.922421866,0.840891859,0.661929754,0.289295437
24,1.049311836,1.040660637,1.02637305,0.9880194,0.913828811,0.74412636,0.373097258
26,1.107266865,1.101809863,1.086185516,1.051740862,0.981770833,0.819862971,0.452554727
28,1.16405497,1.157775077,1.143190277,1.107778055,1.041732997,0.886044,0.525784152
30,1.217810437,1.210401131,1.195964628,1.163083821,1.096516793,0.946664176,0.59408828
32,1.268902419,1.262729143,1.246761502,1.213634887,1.149029746,1.000131359,0.656746743
34,1.317069391,1.31170546,1.29474646,1.261421294,1.194973235,1.051394589,0.711813203
36,1.364179901,1.355735697,1.339757454,1.308070595,1.240313726,1.097586852,0.763670364
38,1.407678344,1.400118466,1.384806747,1.349654582,1.281774928,1.142121299,0.809278205
40,1.446646096,1.438426043,1.425179992,1.389356507,1.321928591,1.18263425,0.851987508
42,1.484417148,1.479113801,1.460771682,1.42556374,1.358852648,1.218100857,0.892558185
44,1.519047826,1.511024575,1.494518539,1.460591076,1.38988158,1.251994659,0.928296818
46,1.547961209,1.542999133,1.525438697,1.490438494,1.422529452,1.285183877,0.961333293
48,1.572147618,1.566089749,1.551231818,1.514902833,1.447540374,1.311477593,0.990848586
50,1.59913226,1.59359066,1.575897642,1.538959645,1.47377066,1.334686261,1.017933287
52,1.620682671,1.611358983,1.595153938,1.559479662,1.494139339,1.356404759,1.042154363
54,1.637145028,1.629003568,1.610808018,1.574834292,1.509493809,1.376531616,1.063396143
56,1.650190423,1.642086514,1.626483461,1.590249364,1.525964377,1.391847328,1.083611495
58,1.657978896,1.653186008,1.635784268,1.598687276,1.535812202,1.403966799,1.096762102
60,1.668602715,1.65976813,1.645240041,1.61000427,1.54884642,1.416281882,1.111554661
65,1.676001271,1.66737492,1.653432931,1.620211129,1.561019284,1.438027124,1.139934308
70,1.672937266,1.665708782,1.654640224,1.62516184,1.567983495,1.450374207,1.159145693
75,1.662836075,1.658892518,1.647729373,1.619610984,1.568272845,1.453991825,1.171452338
80,1.650739137,1.647026172,1.63543311,1.610432399,1.560178704,1.452688012,1.180312733
85,1.637161312,1.629491581,1.619933774,1.59790976,1.551350202,1.449302057,1.181984897
90,1.616702122,1.61271114,1.603247332,1.583628793,1.540876398,1.444117166,1.183803342
95,1.598815361,1.594996497,1.587842455,1.567643319,1.530558223,1.436733882,1.183634807
100,1.584435126,1.579255057,1.572627857,1.554374281,1.518483802,1.429000164,1.183201776
110,1.550613599,1.547007897,1.540420351,1.524769517,1.496031834,1.414834777,1.177515237
120,1.519702123,1.51861008,1.511875759,1.501077306,1.474849162,1.400037584,1.171967085
130,1.492962167,1.491245397,1.487057088,1.477747702,1.45700734,1.386732753,1.166268742
140,1.470808864,1.467108854,1.465961618,1.458393201,1.439898197,1.373698221,1.163865406
150,1.451078706,1.446095343,1.44599412,1.441137536,1.422378353,1.361511058,1.159339845
160,1.432032771,1.428167381,1.427695992,1.424113435,1.409067597,1.351448814,1.156768893
170,1.413096254,1.411824677,1.411521554,1.409684404,1.39643068,1.343153336,1.151308969
180,1.398894676,1.396427178,1.397835,1.396612297,1.384383205,1.333357787,1.151959628
190,1.38528089,1.382702409,1.383375257,1.38284168,1.373426568,1.326396829,1.149756079
200,1.371486566,1.369709686,1.371713703,1.372536395,1.363987552,1.318667954,1.14798361
225,1.344942039,1.343689787,1.34556404,1.346960949,1.341347854,1.303656795,1.14339654
250,1.321453013,1.320659166,1.324080918,1.326599327,1.324332205,1.290457306,1.139990693
275,1.302363788,1.301579128,1.306066402,1.309376686,1.308937806,1.277916728,1.13724192
300,1.287030255,1.285631839,1.291114515,1.294288695,1.294355286,1.2681921,1.133716722
325,1.272522523,1.27244136,1.276040185,1.281775018,1.283495701,1.260055716,1.130103076
350,1.260473384,1.260174011,1.264664608,1.270783048,1.272888466,1.252469611,1.129588636
375,1.249678786,1.249435705,1.253726943,1.259884065,1.263708025,1.245193075,1.127565371
400,1.240148422,1.23984056,1.243656142,1.249796053,1.255314667,1.238554072,1.125237114
425,1.232138886,1.231344987,1.235807217,1.242264355,1.248292334,1.232153539,1.123956004
450,1.225210108,1.223302642,1.227792019,1.23454199,1.240211686,1.226859421,1.121542734
500,1.211661293,1.210589372,1.215111111,1.221590982,1.228170744,1.216785829,1.119587762
550,1.200524689,1.199488461,1.204075886,1.210634379,1.217849894,1.209707508,1.116996314
600,1.191949262,1.190838295,1.19578911,1.201894037,1.209465873,1.201581241,1.11432312
662,1.18400205,1.182504751,1.187546155,1.193040499,1.20129186,1.194891639,1.111058596
700,1.177316294,1.177904826,1.182164677,1.188148086,1.19578499,1.191104759,1.108221935
800,1.167465779,1.165992085,1.170347552,1.175995164,1.184822663,1.180500004,1.107014798
900,1.159248202,1.157579703,1.161305769,1.167613147,1.174840819,1.171720799,1.105232644
1000,1.152502584,1.150449322,1.154193102,1.160147561,1.167149183,1.165732433,1.102572673
1250,1.139934594,1.138179805,1.141240414,1.146120055,1.152070698,1.15206497,1.097264146
